id,age,gender,edu_level,race,family_status,ratio_to_poverty,lang_interview
109744,8,Male,NA,Black,NA,1.05,English
109745,7,Male,NA,Black,NA,1.13,English
109746,47,Male,4,Black,Living with Partner,3.69,English
109747,74,Female,3,White,Other,2.07,English
109748,11,Male,NA,Other Hispanic,NA,0.1,Spanish
109749,6,Female,NA,Black,NA,0.86,English
109750,16,Male,NA,White,NA,1.67,English
109751,10,Female,NA,White,NA,5,English
109752,14,Male,NA,Black,NA,1.24,English
109753,3,Female,NA,Black,NA,0.59,English
109754,47,Female,2,White,Living with Partner,2.16,English
109757,30,Female,5,Other,Living with Partner,3.92,English
109758,26,Male,4,Black,Living with Partner,NA,English
109760,53,Male,3,Other Hispanic,Living with Partner,4.62,English
109761,19,Female,NA,Black,NA,5,English
109762,9,Male,NA,White,NA,5,English
109763,78,Male,1,Black,Living with Partner,0.88,English
109764,69,Male,5,Other,Other,2.28,English
109765,51,Female,4,White,Other,0.8,English
109766,9,Female,NA,Black,NA,0.52,English
109768,32,Male,5,White,Other,5,English
109769,44,Male,3,White,Other,0.94,English
109770,47,Female,5,Black,Living with Partner,5,English
109771,79,Female,3,Black,Living with Partner,4.56,English
109772,11,Female,NA,Missing,NA,0.31,English
109773,16,Female,NA,Mexican American,NA,1.07,English
109775,2,Male,NA,White,NA,0.25,English
109777,13,Female,NA,Black,NA,1.58,English
109778,12,Female,NA,Missing,NA,5,English
109779,6,Female,NA,White,NA,0.79,English
109780,66,Female,3,Black,Living with Partner,1.08,English
109781,16,Female,NA,Other,NA,1.7,English
109782,63,Female,3,White,Living with Partner,3.69,English
109783,61,Male,2,Black,Other,0.58,English
109784,4,Male,NA,White,NA,5,English
109785,48,Male,4,Black,Other,NA,English
109787,5,Male,NA,White,NA,2.64,English
109788,3,Male,NA,White,NA,2.07,English
109789,32,Female,5,White,Living with Partner,5,English
109791,28,Male,4,Black,Other,2.83,English
109792,6,Male,NA,Other Hispanic,NA,4.31,English
109794,63,Male,4,White,Living with Partner,2.59,English
109795,13,Male,NA,White,NA,5,English
109797,9,Male,NA,Black,NA,0.06,English
109798,10,Female,NA,Black,NA,0.06,English
109799,3,Female,NA,Mexican American,NA,0.36,English
109800,31,Male,2,Missing,Other,4.31,English
109801,6,Male,NA,Other,NA,NA,English
109802,25,Male,3,White,Living with Partner,0.81,English
109803,56,Female,4,Black,Other,0.8,English
109804,16,Female,NA,Mexican American,NA,0.1,English
109805,43,Female,3,Black,Living with Partner,2.92,English
109806,25,Female,3,Black,Other,2.56,English
109807,31,Male,5,White,Living with Partner,5,English
109808,3,Male,NA,White,NA,4.17,English
109809,20,Female,4,White,Other,5,English
109810,16,Female,NA,White,NA,3.98,English
109811,52,Male,5,Other,Living with Partner,3.73,English
109812,72,Female,4,Black,Living with Partner,4.85,English
109813,32,Male,3,Mexican American,Other,2.49,Spanish
109814,29,Female,2,Black,Living with Partner,0.35,English
109815,52,Female,5,Black,Living with Partner,5,English
109816,55,Female,4,White,Other,2.59,English
109817,36,Female,5,Other,Living with Partner,5,English
109819,1,Female,NA,Other Hispanic,NA,0.56,English
109820,29,Female,3,Mexican American,Living with Partner,0.93,English
109821,19,Male,NA,Black,NA,2.65,English
109822,16,Female,NA,Black,NA,5,English
109825,22,Male,3,Other Hispanic,Other,0.41,English
109826,1,Male,NA,Other Hispanic,NA,NA,Spanish
109827,1,Female,NA,Black,NA,NA,English
109828,34,Male,5,Missing,Living with Partner,5,English
109829,13,Female,NA,Black,NA,1.26,English
109830,2,Male,NA,Black,NA,1.13,English
109831,50,Male,3,White,Living with Partner,3.79,English
109832,5,Male,NA,White,NA,0.61,English
109834,11,Female,NA,Mexican American,NA,1.7,Spanish
109836,30,Male,4,Black,Living with Partner,1.44,English
109837,18,Female,NA,Other Hispanic,NA,4.01,English
109838,5,Male,NA,White,NA,5,English
109839,66,Female,3,Black,Other,1.13,English
109840,10,Female,NA,Other Hispanic,NA,0.17,English
109841,54,Female,4,White,Living with Partner,1.42,English
109842,14,Male,NA,White,NA,1.26,English
109843,35,Male,4,Mexican American,Other,2.89,Spanish
109844,59,Male,4,Other Hispanic,Other,2.88,English
109845,77,Female,4,White,Other,2.32,English
109847,15,Male,NA,Black,NA,0.49,English
109848,14,Male,NA,White,NA,1.73,English
109849,3,Female,NA,White,NA,0.3,English
109850,50,Female,4,Mexican American,Living with Partner,5,English
109851,6,Female,NA,Black,NA,0.56,English
109852,20,Female,2,Other Hispanic,Other,NA,Spanish
109853,7,Female,NA,Mexican American,NA,0.89,Spanish
109854,67,Male,5,Missing,Other,NA,English
109855,29,Male,2,Mexican American,Living with Partner,0.8,Spanish
109856,54,Female,4,Other Hispanic,Other,1.07,English
109857,74,Male,3,White,Living with Partner,1.71,English
109858,14,Female,NA,Black,NA,5,English
109859,13,Female,NA,Black,NA,0.69,English
109860,25,Female,4,Black,Other,4.65,English
109861,0,Female,NA,Mexican American,NA,1.7,English
109862,41,Female,4,Other Hispanic,Living with Partner,NA,English
109863,64,Female,4,Missing,Living with Partner,1.64,English
109864,75,Female,3,White,Living with Partner,5,English
109865,33,Female,2,Black,Other,0.36,English
109866,28,Female,4,White,Living with Partner,4.05,English
109867,55,Male,2,White,Other,0.58,English
109868,55,Female,3,Mexican American,Living with Partner,1.5,Spanish
109869,75,Male,4,White,Living with Partner,4.44,English
109870,0,Male,NA,White,NA,4.55,English
109872,38,Female,4,Black,Other,0.78,English
109873,18,Female,NA,White,NA,0.17,English
109874,55,Male,4,Other Hispanic,Living with Partner,5,English
109875,0,Male,NA,Mexican American,NA,0.87,Spanish
109877,41,Male,4,Black,Other,5,English
109878,19,Male,NA,White,NA,5,English
109879,60,Female,3,Other Hispanic,Living with Partner,5,English
109880,13,Male,NA,Mexican American,NA,0.6,English
109881,48,Male,5,Other,Living with Partner,5,English
109882,14,Female,NA,Black,NA,NA,English
109883,1,Male,NA,Other Hispanic,NA,NA,Spanish
109884,45,Female,3,Mexican American,Living with Partner,5,English
109885,9,Male,NA,White,NA,NA,English
109886,64,Male,3,White,Other,NA,English
109887,25,Male,3,Missing,Living with Partner,3.19,English
109888,8,Male,NA,Other,NA,1.32,English
109889,8,Female,NA,Missing,NA,4.85,English
109890,4,Male,NA,White,NA,5,English
109893,20,Female,3,Black,Other,1.16,English
109894,32,Female,4,Mexican American,Other,1.82,English
109895,21,Male,4,Mexican American,Other,NA,English
109896,1,Female,NA,White,NA,2.72,English
109898,48,Female,2,Other Hispanic,Other,1.88,English
109902,75,Female,3,Black,Other,1.78,English
109903,53,Male,5,Black,Living with Partner,5,English
109904,1,Female,NA,White,NA,1.44,English
109905,52,Female,4,White,Other,NA,English
109906,10,Male,NA,Missing,NA,4.58,English
109907,6,Male,NA,Black,NA,0.8,English
109910,16,Male,NA,Black,NA,3.74,English
109911,13,Male,NA,Black,NA,NA,English
109913,52,Female,3,Black,Other,2.07,English
109914,2,Female,NA,Black,NA,1.43,English
109915,58,Male,4,Mexican American,Living with Partner,5,English
109916,25,Male,3,Black,Living with Partner,3.37,English
