iso,year,cell
GEO,2019,141.755
GEO,2020,134.366
GEO,2021,146.566
GEO,2022,154.014
GHA,2003,3.73546
GHA,2004,7.75095
GHA,2005,12.8046
GHA,2006,22.6002
GHA,2007,32.1629
GHA,2008,47.7132
GHA,2009,60.7695
GHA,2010,68.4473
GHA,2011,81.1104
GHA,2012,95.8262
GHA,2013,102.338
GHA,2014,108.27
GHA,2015,121.997
GHA,2016,130.481
GHA,2017,122.472
GHA,2018,133.61
GHA,2019,130.705
GHA,2020,126.887
GHA,2021,124.403
GHA,2022,120.803
GMB,2003,9.46368
GMB,2004,10.7937
GMB,2005,14.8454
GMB,2006,23.5732
GMB,2007,45.3269
GMB,2008,64.1491
GMB,2009,70.1538
GMB,2010,76.7323
GMB,2011,70.6308
GMB,2012,74.7
GMB,2013,87.8808
GMB,2014,105.505
GMB,2015,122.079
GMB,2016,124.274
GMB,2017,126.634
GMB,2018,132.578
GMB,2019,105.205
GMB,2020,106.448
GMB,2021,108.847
GMB,2022,106.782
GNB,2003,0.09668
GNB,2004,2.92324
