imdb_id,title,year,language,genre,director,writer,country,imdb_votes,rating_imdb,rating_rt,rating_mc,runtime_raw,wikipedia_pageid,wikipedia_description,wikipedia_extract,budget_raw,box_office_raw
tt0070820,Touki Bouki,1973,Wolof|Arabic|French,Drama,Djibril Diop Mambéty,Djibril Diop Mambéty,Senegal,4356,7.0,88,,85,30731803,1973 Senegalese film,Touki Bouki is a 1973 Senegalese drama film written and directed by Djibril Diop Mambéty. It was screened at the 1973 Cannes Film Festival and the 8th Moscow International Film Festival.,,
tt0070884,Visions of Eight,1973,English,Documentary|Sport,Milos Forman|Kon Ichikawa|Claude Lelouch,David Hughes|Dilyara Ozerova|Shuntarô Tanikawa,West Germany|United States,779,6.8,57,,110,22492478,1973 documentary film,"Visions of Eight is a 1973 American documentary film offering a stylized look at the 1972 Summer Olympics. Produced by Stan Margulies and executive produced by David L. Wolper, it was directed by eight directors. It was screened out-of-competition at the 1973 Cannes Film Festival. It was later shown as part of the Cannes Classics section of the 2013 Cannes Film Festival. Some visuals of the Munich stadium from the documentary were used in Without Limits.",,
tt0071129,Amarcord,1973,Italian|Greek|Ancient (to 1453),Comedy|Drama,Federico Fellini,Federico Fellini|Tonino Guerra,Italy|France,49685,7.8,88,,127,239086,1973 film by Federico Fellini,"Amarcord is a 1973 comedy-drama film directed by Federico Fellini, a semi-autobiographical tale about Titta, an adolescent boy growing up among an eccentric cast of characters in the village of Borgo San Giuliano in 1930s Fascist Italy.",,
tt0072281,The Three Musketeers,1973,English,Action|Adventure|Romance,Richard Lester,George MacDonald Fraser|Alexandre Dumas,United States|United Kingdom|Spain,21167,7.1,90,77,105,4316523,1973 film by Richard Lester,"The Three Musketeers (also known as The Three Musketeers (The Queen's Diamonds)) is a 1973 swashbuckler film based on the 1844 novel by Alexandre Dumas. It is directed by Richard Lester from a screenplay by George MacDonald Fraser, and produced by Ilya Salkind. It stars Michael York, Oliver Reed, Frank Finlay, and Richard Chamberlain as the musketeers, with Raquel Welch, Geraldine Chaplin, Jean-Pierre Cassel, Charlton Heston, Faye Dunaway, Christopher Lee, Simon Ward, Georges Wilson and Spike Milligan.",4500000,
tt0072439,Zatoichi's Conspiracy,1973,Japanese,Action|Drama,Kimiyoshi Yasuda,Yoshi Hattori|Kan Shimozawa,Japan,1119,7.1,,,88,,,,,
tt0072962,F for Fake,1973,English|French|Spanish,Documentary,Orson Welles|Gary Graver|Oja Kodar,Orson Welles|Oja Kodar,France|Iran|West Germany,19115,7.7,88,87,89,1492011,1973 film by Orson Welles,"F for Fake is a 1973 docudrama film co-written, directed by, and starring Orson Welles who worked on the film alongside François Reichenbach, Oja Kodar, and Gary Graver. Initially released in 1973, it focuses on Elmyr de Hory's recounting of his career as a professional art forger; de Hory's story serves as the backdrop for a meandering investigation of the natures of authorship and authenticity, as well as the basis of the value of art. Far from serving as a traditional documentary on de Hory, the film also incorporates Welles's companion Oja Kodar, hoax biographer Clifford Irving, and Orson Welles as himself. F for Fake is sometimes considered an example of a film essay.",,
tt0143428,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,Japanese,Action|Crime|Drama,Kenji Misumi,Kazuo Koike|Tsutomu Nakamura,Japan,4732,7.5,,,89,5672796,1973 Japanese film,"Lone Wolf and Cub: Baby Cart in the Land of Demons  is the fifth in a series of six Japanese martial arts films based on the long-running Lone Wolf and Cub manga series about Ogami Ittō, a wandering assassin for hire who is accompanied by his young son, Daigoro.",,
tt0158714,Lady Snowblood,1973,Japanese|English,Action|Crime|Drama,Toshiya Fujita,Kazuo Kamimura|Kazuo Koike|Norio Osada,Japan,16923,7.6,100,80,97,9442685,1973 Japanese film,"Lady Snowblood  is a 1973 Japanese jidaigeki film directed by Toshiya Fujita and starring Meiko Kaji. Based on the manga series of the same name by Kazuo Koike and Kazuo Kamimura, the film recounts the tale of Yuki (Kaji), a woman who seeks vengeance upon three of the people who raped her mother and killed her half brother. The film's narrative is told out of chronological order, jumping between present and past events. Alongside Kaji, the film's cast includes Toshio Kurosawa, Masaaki Daimon, Miyoko Akaza, and Kō Nishimura.",,
tt0269104,Come on Children,1973,English,Documentary,Allan King,N/A,Canada,268,6.8,,,95,76202293,1973 Canadian film,Come On Children is a 1973 documentary film by Canadian filmmaker Allan King. The film is a cinéma vérité take on the lives of youth that reside at farm house for a ten-week stay away from families and the city of Toronto.,,
tt0069687,Alice in the Cities,1974,German|English|Dutch,Drama,Wim Wenders,Wim Wenders|Veith von Fürstenberg,West Germany,13847,7.9,100,78,107,8861805,1974 film,"Alice in the Cities is a 1974 German road movie directed by Wim Wenders. It is the first part of Wenders' ""Road Movie trilogy"", which also includes The Wrong Move (1975) and Kings of the Road (1976). The film was shot in black and white by Robby Müller, and contains several long scenes without dialogue.",500000,
